A_id,B_id
1800,1687
1803,6722
1812,188
1818,7145
1818,2614
1818,1712
1818,6260
1821,2888
1824,8827
1827,130
1827,1751
1833,2141
1833,6194
1836,666
1836,4081
1839,1751
1839,8349
1842,7188
1842,4112
1845,3576
1845,2481
1845,2790
1848,1082
1848,8679
1854,2935
1854,732
1854,5024
1857,2888
1857,6141
186,3693
1860,4242
1860,1657
1869,620
1872,704
1875,2718
1875,6242
1887,4845
1887,4830
1890,1740
1893,736
1899,6141
1899,1119
1899,5823
1899,4126
1899,7156
1899,7144
1905,6281
1908,3073
1911,1486
1911,8111
1914,6971
1914,6976
1917,234
1929,499
1935,1863
1938,4295
1938,8111
1944,8793
1944,9615
1944,2169
1944,4585
1944,2057
1944,927
1944,2667
1950,8646
1950,1895
1950,5002
1953,9225
1962,6141
1962,1527
1962,2169
1962,2048
1962,927
1962,9209
1962,6893
1968,6284
1980,9163
1983,9615
1983,7197
1983,8745
1983,7006
1983,8560
1983,7161
1983,2176
1983,1127
1983,1227
1983,6473
1983,927
1983,611
1983,3914
1983,1552
1983,5620
1986,9439
1989,3914
1989,8183
1989,9091
2004,4875
2004,442
2007,4273
2016,9326
2019,929
2022,6288
2025,6563
2025,4307
2025,2467
2025,4996
2031,1981
2034,512
2034,6487
2034,6893
2034,7161
2037,1020
2046,1428
2046,3167
2052,3745
2058,9805
2061,1109
2061,1061
2061,1479
2061,8955
2067,7274
2067,1322
2067,1279
2079,476
2082,1977
2082,1951
2082,5487
2082,7240
2085,2657
2088,6146
2088,6162
2088,2368
2088,6260
2088,5260
2091,4524
2091,5824
210,5387
210,1453
210,9775
2100,7852
2100,8607
2100,4168
2100,282
2106,2169
2106,5597
2112,4423
2118,4242
2118,2021
2118,4458
2130,5228
2130,267
2130,3120
2130,276
2130,2404
2139,4589
2139,774
2139,320
2139,4206
2145,1178
2145,5745
2145,9001
216,4845
216,5646
216,4830
216,7109
2160,3196
2160,1862
2160,5465
2163,115
2172,3190
2172,5044
2178,7671
2178,8571
2178,9659
2178,7324
2178,6237
2178,5587
2178,1899
2178,4991
2181,4771
2181,7487
2181,8571
2181,6707
2181,7754
2184,2894
2184,6518
2184,6230
2184,1026
2187,9925
2187,7218
2187,6879
2187,775
2187,2535
2187,4112
2187,693
2187,1635
219,1675
219,9624
2190,9499
2193,7590
2196,6841
2205,1082
2208,7088
2217,7675
2220,2252
2226,4771
2226,7645
2229,7009
2235,9704
2235,927
2235,1003
2235,4996
2235,1892
2235,5443
2235,4585
2235,2467
2235,2057
2235,2667
2235,2169
2241,775
2241,2481
2241,424
2241,6577
2241,614
2241,5329
2241,3914
2241,9615
2241,8745
2241,8560
2241,8187
2244,1932
2244,1146
2259,2194
2265,7108
2268,1574
2274,9454
2274,2659
2277,2366
2277,2367
2286,2381
2286,6493
2286,1776
2286,2464
2286,8450
2292,4458
2292,2484
2304,1977
2304,4303
2307,8236
231,3628
231,2931
231,4596
231,2539
231,892
2310,9664
2310,6598
2319,9711
2319,2970
2319,2364
2322,1895
2322,5002
2328,5874
2328,592
2331,1657
2337,9167
2337,4771
2340,1863
2340,2823
2340,4817
2340,1230
2340,6068
2340,5014
2340,6598
2340,1566
2340,3009
2340,4901
2340,4923
2340,4158
